abiword 3.0.6-1///pacman
accountsservice 23.13.9-2///pacman
alsa-firmware 1.2.4-4///pacman
alsa-plugins 1:1.2.12-4///pacman
alsa-utils 1.2.13-2///pacman
axel 2.17.14-1///pacman
b43-fwcutter 019-5///pacman
baobab 47.0-1///pacman
base 3-2///pacman
base-devel 1-2///pacman
bash-completion 2.15.0-1///pacman
bat 0.24.0-2///pacman
bind 9.20.4-1///pacman
blueman 2.4.3-1///pacman
bluez 5.79-1///pacman
bluez-utils 5.79-1///pacman
broot 1.44.2-1///pacman
btop 1.4.0-4///pacman
btrfs-progs 6.12-1///pacman
calc 2.15.1.0-1///pacman
cantarell-fonts 1:0.303.1-2///pacman
cloudflared 2024.12.2-1///pacman
cronie 1.7.2-1///pacman
cryptsetup 2.7.5-1///pacman
cups 2:2.4.11-1///pacman
dbeaver 24.3.0-1///pacman
device-mapper 2.03.29-1///pacman
dhclient 4.4.3.P1-3///pacman
diffutils 3.10-1///pacman
discord 0.0.78-1///pacman
dmidecode 3.6-1///pacman
dmraid 1.0.0.rc16.3-15///pacman
dnsmasq 2.90-1///pacman
docker 1:27.3.1-1///pacman
docker-compose 2.32.1-1///pacman
dosfstools 4.2-5///pacman
downgrade 11.4.2-1///pacman
dracut 105-1///pacman
duf 0.8.1-3///pacman
dunst 1.12.0-1///pacman
dust 1.1.1-1///pacman
e2fsprogs 1.47.1-4///pacman
ecryptfs-utils 111-9///pacman
efibootmgr 18-3///pacman
efitools 1.9.2-5///pacman
endeavouros-keyring 20231222-1///pacman
endeavouros-mirrorlist 24.10-1///pacman
eos-apps-info 24.8.2-1///pacman
eos-dracut 1.4-1///pacman
eos-hooks 1.16-1///pacman
eos-log-tool 24.12-1///pacman
eos-packagelist 2.3.1-1///pacman
eos-quickstart 1.4.1-1///pacman
eos-rankmirrors 24.9.2-1///pacman
eos-update-notifier 24.7.1-1///pacman
ethtool 1:6.9-1///pacman
exfatprogs 1.2.6-1///pacman
expect 5.45.4-5///pacman
eza 0.20.13-1///pacman
f2fs-tools 1.16.0-3///pacman
fd 10.2.0-1///pacman
feh 3.10.3-1///pacman
ffmpegthumbnailer 2.2.3-3///pacman
firewalld 2.3.0-1///pacman
foot 1.19.0-2///pacman
fsarchiver 0.8.8-1///pacman
fzf 0.56.3-1///pacman
ghostscript 10.04.0-1///pacman
github-cli 2.64.0-1///pacman
glances 4.2.1-1///pacman
gnome-keyring 1:46.2-1///pacman
gnome-tweaks 46.1-1///pacman
greetd 0.10.3-1///pacman
grim 1.4.1-2///pacman
grub 2:2.12-3///pacman
gst-libav 1.24.10-1///pacman
gst-plugin-pipewire 1:1.2.7-1///pacman
gst-plugins-bad 1.24.10-1///pacman
gst-plugins-ugly 1.24.10-1///pacman
gvfs 1.56.1-1///pacman
haveged 1.9.19-1///pacman
hdparm 9.65-2///pacman
helix 24.07-2///pacman
hunspell-en_us 2020.12.07-5///pacman
hunspell-es_sv 1:2.8-2///pacman
