[ 4][t 4][1758618412.891995429][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893224477][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyx+cY9AfSSKKrM8EY9O6GGM], location = [ID = 5935881039158187081, access_hash = -7360357252356237015]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyx+cY9AfSSKKrM8EY9O6GGM], location = [ID = 5935881039158187081, access_hash = -7360357252356237015]] from Server
[ 3][t 4][1758618412.893227577][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYyx+cY9AfSSKKrM8EY9O6GGM], location = [ID = 5935881039158187081, access_hash = -7360357252356237015]] as 11256(0)
[ 3][t 4][1758618412.893229722][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 10995(0)
[ 3][t 4][1758618412.893231153][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyx+cY9AfSSKKrM8EY9O6GGM], location = [ID = 5935881039158187081, access_hash = -7360357252356237015]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyx+cY9AfSSKKrM8EY9O6GGM], location = [ID = 5935881039158187081, access_hash = -7360357252356237015]] from Server
[ 4][t 4][1758618412.893232822][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 62, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893234729][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893236160][AnimationsManager.cpp:172][#1][!Td]	Ignore animation 10995(10995) of size (208, 106)
[ 3][t 4][1758618412.893238067][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Server
[ 3][t 4][1758618412.893239736][FileManager.cpp:1789][#1][!Td]	Register [Thumbnail, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] as 11256(0)
[ 3][t 4][1758618412.893241167][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 10996(0)
[ 3][t 4][1758618412.893242359][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Server
[ 4][t 4][1758618412.893244028][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 108, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893245458][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893247127][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044]] from Server
[ 3][t 4][1758618412.893248558][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044]] as 11256(0)
[ 3][t 4][1758618412.893252134][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 10997(0)
[ 3][t 4][1758618412.893253803][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYyx+5EFMDKayHvuGpVGJ4D1l], location = [ID = 5935881039158187080, access_hash = 1246311269159267044]] from Server
[ 4][t 4][1758618412.893255233][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 191, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893256902][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893258094][AnimationsManager.cpp:172][#1][!Td]	Ignore animation 10997(10997) of size (208, 120)
[ 3][t 4][1758618412.893259525][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Server
[ 3][t 4][1758618412.893261194][FileManager.cpp:1789][#1][!Td]	Register [Thumbnail, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] as 11256(0)
[ 3][t 4][1758618412.893262624][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 10998(0)
[ 3][t 4][1758618412.893264055][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Server
[ 4][t 4][1758618412.893265485][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 78, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893267393][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893268585][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182]] from Server
[ 3][t 4][1758618412.893270015][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182]] as 11256(0)
[ 3][t 4][1758618412.893271684][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 10999(0)
[ 3][t 4][1758618412.893273115][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywCSC5EMz6JAaYp3gXbxzO4], location = [ID = 5935881039158187079, access_hash = 9082339070431727182]] from Server
[ 4][t 4][1758618412.893274784][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 310, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
